DataCode,RecType,RecYear,PlotID,Treatment,Spnum,Genus,Species,Abundance
PPL01,1,2004,43,N1P1,141,viola,rafinesquii,1
PPL01,1,2004,43,N1P1,17,poa,pratensis,1
PPL01,1,2004,43,N1P1,18,sorghastrum,nutans,7.5
PPL01,1,2004,43,N1P1,2,andropogon,gerardii,58.75
PPL01,1,2004,43,N1P1,21,sporobolus,asper,4.25
PPL01,1,2004,43,N1P1,3,andropogon,scoparius,28.75
PPL01,1,2004,43,N1P1,33,carex,heliophila,0.75
PPL01,1,2004,43,N1P1,34,carex,meadii,0.5
PPL01,1,2004,43,N1P1,4,bouteloua,curtipendula,2
PPL01,1,2004,43,N1P1,55,asclepias,verticillata,0.25
PPL01,1,2004,43,N1P1,56,asclepias,viridis,0.5
PPL01,1,2004,43,N1P1,58,aster,ericoides,5.75
PPL01,1,2004,43,N1P1,71,conyza,canadensis,0.25
PPL01,1,2004,43,N1P1,92,linum,sulcatum,1.5
PPL01,1,2004,44,N2P2,111,physalis,pumila,1.75
PPL01,1,2004,44,N2P2,128,solidago,missouriensis,0.5
PPL01,1,2004,44,N2P2,137,triodanis,perfoliata,0.75
PPL01,1,2004,44,N2P2,14,dichanthelium,oligosanthes,8.25
PPL01,1,2004,44,N2P2,141,viola,rafinesquii,0.75
PPL01,1,2004,44,N2P2,17,poa,pratensis,1
PPL01,1,2004,44,N2P2,18,sorghastrum,nutans,83.75
PPL01,1,2004,44,N2P2,2,andropogon,gerardii,15
PPL01,1,2004,44,N2P2,3,andropogon,scoparius,13.25
PPL01,1,2004,44,N2P2,34,carex,meadii,1
PPL01,1,2004,44,N2P2,4,bouteloua,curtipendula,1
PPL01,1,2004,44,N2P2,40,amorpha,canescens,2
PPL01,1,2004,44,N2P2,46,ambrosia,psilostachya,32.5
PPL01,1,2004,44,N2P2,55,asclepias,verticillata,0.5
PPL01,1,2004,44,N2P2,58,aster,ericoides,4.75
PPL01,1,2004,44,N2P2,66,baptisia,bracteata,1.25
PPL01,1,2004,44,N2P2,71,conyza,canadensis,0.25
PPL01,1,2004,45,N2P1,102,oxalis,stricta,0.25
PPL01,1,2004,45,N2P1,12,koeleria,pyramidata,1.25
PPL01,1,2004,45,N2P1,128,solidago,missouriensis,1.25
PPL01,1,2004,45,N2P1,14,dichanthelium,oligosanthes,2.75
PPL01,1,2004,45,N2P1,141,viola,rafinesquii,1
PPL01,1,2004,45,N2P1,17,poa,pratensis,0.25
PPL01,1,2004,45,N2P1,18,sorghastrum,nutans,16.25
PPL01,1,2004,45,N2P1,2,andropogon,gerardii,73.75
PPL01,1,2004,45,N2P1,3,andropogon,scoparius,22.5
PPL01,1,2004,45,N2P1,33,carex,heliophila,0.5
PPL01,1,2004,45,N2P1,34,carex,meadii,1.25
PPL01,1,2004,45,N2P1,4,bouteloua,curtipendula,1
PPL01,1,2004,45,N2P1,40,amorpha,canescens,6.5
PPL01,1,2004,45,N2P1,55,asclepias,verticillata,0.5
PPL01,1,2004,45,N2P1,58,aster,ericoides,20
PPL01,1,2004,45,N2P1,71,conyza,canadensis,1.25
PPL01,1,2004,45,N2P1,77,erigeron,strigosus,0.25
PPL01,1,2004,46,N2P3,111,physalis,pumila,0.5
PPL01,1,2004,46,N2P3,114,plantago,rhodosperma,0.25
PPL01,1,2004,46,N2P3,132,spermolepis,inermis,0.75
PPL01,1,2004,46,N2P3,14,dichanthelium,oligosanthes,18.75
PPL01,1,2004,46,N2P3,141,viola,rafinesquii,0.5
PPL01,1,2004,46,N2P3,18,sorghastrum,nutans,10
PPL01,1,2004,46,N2P3,2,andropogon,gerardii,10
PPL01,1,2004,46,N2P3,21,sporobolus,asper,1
PPL01,1,2004,46,N2P3,3,andropogon,scoparius,47.5
PPL01,1,2004,46,N2P3,33,carex,heliophila,5.5
PPL01,1,2004,46,N2P3,34,carex,meadii,5.5
PPL01,1,2004,46,N2P3,4,bouteloua,curtipendula,2.75
PPL01,1,2004,46,N2P3,40,amorpha,canescens,1.25
PPL01,1,2004,46,N2P3,46,ambrosia,psilostachya,10.5
PPL01,1,2004,46,N2P3,58,aster,ericoides,51.25
PPL01,1,2004,46,N2P3,71,conyza,canadensis,4.5
PPL01,1,2004,47,N2P0,102,oxalis,stricta,0.5
PPL01,1,2004,47,N2P0,114,plantago,rhodosperma,0.25
PPL01,1,2004,47,N2P0,12,koeleria,pyramidata,1.25
PPL01,1,2004,47,N2P0,124,silene,antirrhina,0.75
PPL01,1,2004,47,N2P0,137,triodanis,perfoliata,1.25
PPL01,1,2004,47,N2P0,14,dichanthelium,oligosanthes,9.25
PPL01,1,2004,47,N2P0,17,poa,pratensis,1
PPL01,1,2004,47,N2P0,18,sorghastrum,nutans,32.5
PPL01,1,2004,47,N2P0,2,andropogon,gerardii,22.5
PPL01,1,2004,47,N2P0,21,sporobolus,asper,0.25
PPL01,1,2004,47,N2P0,3,andropogon,scoparius,57.5
PPL01,1,2004,47,N2P0,33,carex,heliophila,6.75
PPL01,1,2004,47,N2P0,34,carex,meadii,7
PPL01,1,2004,47,N2P0,4,bouteloua,curtipendula,1.75
PPL01,1,2004,47,N2P0,46,ambrosia,psilostachya,3.75
PPL01,1,2004,47,N2P0,58,aster,ericoides,12.5
PPL01,1,2004,47,N2P0,71,conyza,canadensis,0.25
PPL01,1,2004,47,N2P0,77,erigeron,strigosus,0.25
PPL01,1,2004,47,N2P0,79,euphorbia,spathulata,0.5
PPL01,1,2004,47,N2P0,92,linum,sulcatum,1.25
PPL01,1,2004,48,N1P0,111,physalis,pumila,0.5
PPL01,1,2004,48,N1P0,120,ruellia,humilis,0.5
PPL01,1,2004,48,N1P0,124,silene,antirrhina,0.5
PPL01,1,2004,48,N1P0,125,sisyrinchium,campestre,0.5
PPL01,1,2004,48,N1P0,137,triodanis,perfoliata,0.75
PPL01,1,2004,48,N1P0,14,dichanthelium,oligosanthes,15.5
PPL01,1,2004,48,N1P0,17,poa,pratensis,0.75
PPL01,1,2004,48,N1P0,18,sorghastrum,nutans,4.25
PPL01,1,2004,48,N1P0,2,andropogon,gerardii,15
PPL01,1,2004,48,N1P0,21,sporobolus,asper,0.75
PPL01,1,2004,48,N1P0,3,andropogon,scoparius,78.75
PPL01,1,2004,48,N1P0,33,carex,heliophila,1.75
PPL01,1,2004,48,N1P0,34,carex,meadii,10.75
PPL01,1,2004,48,N1P0,4,bouteloua,curtipendula,0.25
PPL01,1,2004,48,N1P0,40,amorpha,canescens,6.75
PPL01,1,2004,48,N1P0,55,asclepias,verticillata,1.5
PPL01,1,2004,48,N1P0,58,aster,ericoides,12.5
PPL01,1,2004,48,N1P0,59,aster,oblongifolius,3.75
PPL01,1,2004,48,N1P0,92,linum,sulcatum,1.75
PPL01,1,2005,1,N2P1,111,physalis,pumila,3.75
PPL01,1,2005,1,N2P1,128,solidago,missouriensis,4
PPL01,1,2005,1,N2P1,14,dichanthelium,oligosanthes,1
PPL01,1,2005,1,N2P1,16,dichanthelium,acuminatum,0.5
PPL01,1,2005,1,N2P1,18,sorghastrum,nutans,37.5
PPL01,1,2005,1,N2P1,2,andropogon,gerardii,58.75
PPL01,1,2005,1,N2P1,21,sporobolus,asper,1.75
PPL01,1,2005,1,N2P1,3,andropogon,scoparius,2.5
PPL01,1,2005,1,N2P1,34,carex,meadii,0.25
PPL01,1,2005,1,N2P1,4,bouteloua,curtipendula,8.75
PPL01,1,2005,1,N2P1,40,amorpha,canescens,2
PPL01,1,2005,1,N2P1,58,aster,ericoides,12.5
PPL01,1,2005,1,N2P1,92,linum,sulcatum,0.5
PPL01,1,2005,2,N1P3,111,physalis,pumila,0.5
PPL01,1,2005,2,N1P3,14,dichanthelium,oligosanthes,3.5
PPL01,1,2005,2,N1P3,18,sorghastrum,nutans,16.25
PPL01,1,2005,2,N1P3,2,andropogon,gerardii,68.75
PPL01,1,2005,2,N1P3,21,sporobolus,asper,0.75
PPL01,1,2005,2,N1P3,3,andropogon,scoparius,15
PPL01,1,2005,2,N1P3,33,carex,heliophila,1.75
PPL01,1,2005,2,N1P3,34,carex,meadii,0.5
PPL01,1,2005,2,N1P3,4,bouteloua,curtipendula,7.25
PPL01,1,2005,2,N1P3,40,amorpha,canescens,5
PPL01,1,2005,2,N1P3,46,ambrosia,psilostachya,8.75
PPL01,1,2005,2,N1P3,55,asclepias,verticillata,1.5
PPL01,1,2005,2,N1P3,58,aster,ericoides,6
PPL01,1,2005,2,N1P3,86,kuhnia,eupatorioides,1.5
PPL01,1,2005,3,N1P1,106,dalea,candida,0.25
PPL01,1,2005,3,N1P1,11,eragrostis,spectabilis,0.25
PPL01,1,2005,3,N1P1,111,physalis,pumila,0.25
PPL01,1,2005,3,N1P1,120,ruellia,humilis,0.5
PPL01,1,2005,3,N1P1,122,schrankia,nuttallii,1.25
PPL01,1,2005,3,N1P1,14,dichanthelium,oligosanthes,1
PPL01,1,2005,3,N1P1,18,sorghastrum,nutans,35
PPL01,1,2005,3,N1P1,2,andropogon,gerardii,63.75
PPL01,1,2005,3,N1P1,216,euphorbia,serpens,0.5
PPL01,1,2005,3,N1P1,3,andropogon,scoparius,8.75
PPL01,1,2005,3,N1P1,33,carex,heliophila,2
PPL01,1,2005,3,N1P1,34,carex,meadii,0.75
PPL01,1,2005,3,N1P1,4,bouteloua,curtipendula,2.5
PPL01,1,2005,3,N1P1,49,antennaria,neglecta,0.25
PPL01,1,2005,3,N1P1,55,asclepias,verticillata,0.75
PPL01,1,2005,3,N1P1,58,aster,ericoides,4.75
PPL01,1,2005,3,N1P1,86,kuhnia,eupatorioides,0.5
PPL01,1,2005,4,N2P2,106,dalea,candida,0.25
PPL01,1,2005,4,N2P2,11,eragrostis,spectabilis,5.25
PPL01,1,2005,4,N2P2,111,physalis,pumila,4.5
PPL01,1,2005,4,N2P2,118,ratibida,columnifera,1.25
PPL01,1,2005,4,N2P2,120,ruellia,humilis,0.5
PPL01,1,2005,4,N2P2,128,solidago,missouriensis,0.5
PPL01,1,2005,4,N2P2,14,dichanthelium,oligosanthes,1.75
PPL01,1,2005,4,N2P2,17,poa,pratensis,0.25
PPL01,1,2005,4,N2P2,18,sorghastrum,nutans,66.25
PPL01,1,2005,4,N2P2,2,andropogon,gerardii,27.5
PPL01,1,2005,4,N2P2,21,sporobolus,asper,0.75
PPL01,1,2005,4,N2P2,3,andropogon,scoparius,2.25
PPL01,1,2005,4,N2P2,33,carex,heliophila,1.25
PPL01,1,2005,4,N2P2,34,carex,meadii,0.5
PPL01,1,2005,4,N2P2,4,bouteloua,curtipendula,6.25
PPL01,1,2005,4,N2P2,40,amorpha,canescens,2
PPL01,1,2005,4,N2P2,46,ambrosia,psilostachya,0.5
PPL01,1,2005,4,N2P2,54,asclepias,stenophylla,0.5
PPL01,1,2005,4,N2P2,55,asclepias,verticillata,0.5
PPL01,1,2005,4,N2P2,58,aster,ericoides,3.75
PPL01,1,2005,4,N2P2,86,kuhnia,eupatorioides,1.25
PPL01,1,2005,5,N2P1,106,dalea,candida,0.25
PPL01,1,2005,5,N2P1,11,eragrostis,spectabilis,1.25
PPL01,1,2005,5,N2P1,118,ratibida,columnifera,0.25
PPL01,1,2005,5,N2P1,120,ruellia,humilis,0.25
PPL01,1,2005,5,N2P1,121,salvia,azurea,12.5
PPL01,1,2005,5,N2P1,14,dichanthelium,oligosanthes,1.75
PPL01,1,2005,5,N2P1,18,sorghastrum,nutans,66.25
PPL01,1,2005,5,N2P1,2,andropogon,gerardii,38.75
PPL01,1,2005,5,N2P1,3,andropogon,scoparius,5.5
PPL01,1,2005,5,N2P1,33,carex,heliophila,2.25
PPL01,1,2005,5,N2P1,34,carex,meadii,0.75
PPL01,1,2005,5,N2P1,4,bouteloua,curtipendula,4.5
PPL01,1,2005,5,N2P1,55,asclepias,verticillata,1.25
PPL01,1,2005,5,N2P1,58,aster,ericoides,1.5
PPL01,1,2005,5,N2P1,59,aster,oblongifolius,2.5
PPL01,1,2005,5,N2P1,86,kuhnia,eupatorioides,2.5
PPL01,1,2005,6,N1P0,106,dalea,candida,4.25
PPL01,1,2005,6,N1P0,118,ratibida,columnifera,2.75
PPL01,1,2005,6,N1P0,120,ruellia,humilis,0.5
PPL01,1,2005,6,N1P0,128,solidago,missouriensis,0.75
PPL01,1,2005,6,N1P0,14,dichanthelium,oligosanthes,4.75
PPL01,1,2005,6,N1P0,18,sorghastrum,nutans,1
PPL01,1,2005,6,N1P0,2,andropogon,gerardii,38.75
PPL01,1,2005,6,N1P0,21,sporobolus,asper,1
PPL01,1,2005,6,N1P0,3,andropogon,scoparius,35.75
PPL01,1,2005,6,N1P0,33,carex,heliophila,1.5
PPL01,1,2005,6,N1P0,34,carex,meadii,1
PPL01,1,2005,6,N1P0,4,bouteloua,curtipendula,9.25
PPL01,1,2005,6,N1P0,46,ambrosia,psilostachya,0.25
PPL01,1,2005,6,N1P0,58,aster,ericoides,2.5
PPL01,1,2005,6,N1P0,59,aster,oblongifolius,0.75
PPL01,1,2005,7,N1P2,106,dalea,candida,0.5
PPL01,1,2005,7,N1P2,111,physalis,pumila,3.5
PPL01,1,2005,7,N1P2,128,solidago,missouriensis,1.25
PPL01,1,2005,7,N1P2,14,dichanthelium,oligosanthes,1.5
PPL01,1,2005,7,N1P2,18,sorghastrum,nutans,31.25
PPL01,1,2005,7,N1P2,2,andropogon,gerardii,86.25
PPL01,1,2005,7,N1P2,21,sporobolus,asper,6.25
PPL01,1,2005,7,N1P2,3,andropogon,scoparius,14
PPL01,1,2005,7,N1P2,33,carex,heliophila,0.5
PPL01,1,2005,7,N1P2,34,carex,meadii,1.5
PPL01,1,2005,7,N1P2,4,bouteloua,curtipendula,15.5
PPL01,1,2005,7,N1P2,40,amorpha,canescens,17
PPL01,1,2005,7,N1P2,58,aster,ericoides,7.25
PPL01,1,2005,8,N2P2,11,eragrostis,spectabilis,0.25
PPL01,1,2005,8,N2P2,18,sorghastrum,nutans,80
PPL01,1,2005,8,N2P2,2,andropogon,gerardii,48.75
PPL01,1,2005,8,N2P2,3,andropogon,scoparius,17.5
PPL01,1,2005,8,N2P2,33,carex,heliophila,1
PPL01,1,2005,8,N2P2,4,bouteloua,curtipendula,1
PPL01,1,2005,8,N2P2,40,amorpha,canescens,1.75
PPL01,1,2005,8,N2P2,55,asclepias,verticillata,4.25
PPL01,1,2005,8,N2P2,58,aster,ericoides,26.75
PPL01,1,2005,8,N2P2,92,linum,sulcatum,0.5
PPL01,1,2005,9,N1P2,11,eragrostis,spectabilis,2.5
PPL01,1,2005,9,N1P2,111,physalis,pumila,0.25
PPL01,1,2005,9,N1P2,12,koeleria,pyramidata,1
PPL01,1,2005,9,N1P2,120,ruellia,humilis,0.25
PPL01,1,2005,9,N1P2,128,solidago,missouriensis,0.5
PPL01,1,2005,9,N1P2,14,dichanthelium,oligosanthes,1.25
PPL01,1,2005,9,N1P2,17,poa,pratensis,1.25
PPL01,1,2005,9,N1P2,18,sorghastrum,nutans,35
PPL01,1,2005,9,N1P2,2,andropogon,gerardii,41.25
PPL01,1,2005,9,N1P2,21,sporobolus,asper,2.5
PPL01,1,2005,9,N1P2,3,andropogon,scoparius,61.25
PPL01,1,2005,9,N1P2,33,carex,heliophila,1.75
PPL01,1,2005,9,N1P2,34,carex,meadii,1.25
PPL01,1,2005,9,N1P2,4,bouteloua,curtipendula,20
PPL01,1,2005,9,N1P2,40,amorpha,canescens,1.5
PPL01,1,2005,9,N1P2,55,asclepias,verticillata,1.75
PPL01,1,2005,9,N1P2,58,aster,ericoides,10.25
PPL01,1,2005,9,N1P2,86,kuhnia,eupatorioides,3
PPL01,1,2005,10,N2P2,11,eragrostis,spectabilis,5.5
PPL01,1,2005,10,N2P2,111,physalis,pumila,1.25
PPL01,1,2005,10,N2P2,120,ruellia,humilis,1.5
PPL01,1,2005,10,N2P2,128,solidago,missouriensis,29.75
PPL01,1,2005,10,N2P2,14,dichanthelium,oligosanthes,2.25
PPL01,1,2005,10,N2P2,18,sorghastrum,nutans,67.5
PPL01,1,2005,10,N2P2,2,andropogon,gerardii,31.25
PPL01,1,2005,10,N2P2,3,andropogon,scoparius,42.5
PPL01,1,2005,10,N2P2,33,carex,heliophila,2.25
PPL01,1,2005,10,N2P2,34,carex,meadii,1
PPL01,1,2005,10,N2P2,4,bouteloua,curtipendula,22.5
PPL01,1,2005,10,N2P2,46,ambrosia,psilostachya,4.5
PPL01,1,2005,10,N2P2,55,asclepias,verticillata,1.5
PPL01,1,2005,10,N2P2,58,aster,ericoides,3.25
PPL01,1,2005,10,N2P2,59,aster,oblongifolius,12
PPL01,1,2005,10,N2P2,86,kuhnia,eupatorioides,6.25
PPL01,1,2005,11,N1P3,120,ruellia,humilis,5.25
PPL01,1,2005,11,N1P3,128,solidago,missouriensis,21.25
PPL01,1,2005,11,N1P3,14,dichanthelium,oligosanthes,7.5
PPL01,1,2005,11,N1P3,17,poa,pratensis,0.25
PPL01,1,2005,11,N1P3,18,sorghastrum,nutans,31.25
PPL01,1,2005,11,N1P3,2,andropogon,gerardii,11.5
PPL01,1,2005,11,N1P3,21,sporobolus,asper,2.5
PPL01,1,2005,11,N1P3,3,andropogon,scoparius,50
PPL01,1,2005,11,N1P3,33,carex,heliophila,1.5
PPL01,1,2005,11,N1P3,34,carex,meadii,1
PPL01,1,2005,11,N1P3,4,bouteloua,curtipendula,45
PPL01,1,2005,11,N1P3,40,amorpha,canescens,15
PPL01,1,2005,11,N1P3,46,ambrosia,psilostachya,0.5
PPL01,1,2005,11,N1P3,55,asclepias,verticillata,1
PPL01,1,2005,11,N1P3,58,aster,ericoides,2.25
PPL01,1,2005,11,N1P3,59,aster,oblongifolius,37.5
PPL01,1,2005,11,N1P3,73,delphinium,virescens,0.5
PPL01,1,2005,11,N1P3,76,echinacea,angustifolia,0.25
PPL01,1,2005,12,N1P2,106,dalea,candida,5.75
PPL01,1,2005,12,N1P2,11,eragrostis,spectabilis,1.5
PPL01,1,2005,12,N1P2,12,koeleria,pyramidata,2
PPL01,1,2005,12,N1P2,120,ruellia,humilis,2
PPL01,1,2005,12,N1P2,125,sisyrinchium,campestre,0.25
PPL01,1,2005,12,N1P2,128,solidago,missouriensis,4.5
PPL01,1,2005,12,N1P2,14,dichanthelium,oligosanthes,2
PPL01,1,2005,12,N1P2,18,sorghastrum,nutans,35
PPL01,1,2005,12,N1P2,2,andropogon,gerardii,31.25
PPL01,1,2005,12,N1P2,21,sporobolus,asper,8
PPL01,1,2005,12,N1P2,216,euphorbia,serpens,0.5
PPL01,1,2005,12,N1P2,3,andropogon,scoparius,37.5
PPL01,1,2005,12,N1P2,33,carex,heliophila,2
PPL01,1,2005,12,N1P2,34,carex,meadii,1.75
PPL01,1,2005,12,N1P2,4,bouteloua,curtipendula,18.75
PPL01,1,2005,12,N1P2,46,ambrosia,psilostachya,3
PPL01,1,2005,12,N1P2,55,asclepias,verticillata,1.5
PPL01,1,2005,12,N1P2,58,aster,ericoides,7.75
PPL01,1,2005,12,N1P2,59,aster,oblongifolius,4
PPL01,1,2005,12,N1P2,76,echinacea,angustifolia,0.25
PPL01,1,2005,13,N2P3,102,oxalis,stricta,0.25
PPL01,1,2005,13,N2P3,11,eragrostis,spectabilis,0.75
PPL01,1,2005,13,N2P3,122,schrankia,nuttallii,21.25
PPL01,1,2005,13,N2P3,127,solidago,canadensis,0.75
PPL01,1,2005,13,N2P3,16,dichanthelium,acuminatum,0.75
PPL01,1,2005,13,N2P3,18,sorghastrum,nutans,42.5
PPL01,1,2005,13,N2P3,2,andropogon,gerardii,60
PPL01,1,2005,13,N2P3,3,andropogon,scoparius,1.25
PPL01,1,2005,13,N2P3,33,carex,heliophila,0.25
PPL01,1,2005,13,N2P3,34,carex,meadii,0.75
PPL01,1,2005,13,N2P3,4,bouteloua,curtipendula,0.5
PPL01,1,2005,13,N2P3,40,amorpha,canescens,3.5
PPL01,1,2005,13,N2P3,58,aster,ericoides,3.25
PPL01,1,2005,14,N1P3,106,dalea,candida,3.75
PPL01,1,2005,14,N1P3,111,physalis,pumila,0.25
PPL01,1,2005,14,N1P3,120,ruellia,humilis,0.5
PPL01,1,2005,14,N1P3,128,solidago,missouriensis,0.5
PPL01,1,2005,14,N1P3,14,dichanthelium,oligosanthes,0.5
PPL01,1,2005,14,N1P3,18,sorghastrum,nutans,11.25
PPL01,1,2005,14,N1P3,2,andropogon,gerardii,57.5
PPL01,1,2005,14,N1P3,21,sporobolus,asper,0.25
PPL01,1,2005,14,N1P3,3,andropogon,scoparius,34.25
PPL01,1,2005,14,N1P3,33,carex,heliophila,1.25
PPL01,1,2005,14,N1P3,34,carex,meadii,1.75
PPL01,1,2005,14,N1P3,4,bouteloua,curtipendula,3.75
PPL01,1,2005,14,N1P3,40,amorpha,canescens,5.25
PPL01,1,2005,14,N1P3,58,aster,ericoides,4
PPL01,1,2005,14,N1P3,59,aster,oblongifolius,1.75
PPL01,1,2005,14,N1P3,60,aster,sericeus,0.75
PPL01,1,2005,15,N1P3,106,dalea,candida,0.25
PPL01,1,2005,15,N1P3,128,solidago,missouriensis,1.75
PPL01,1,2005,15,N1P3,14,dichanthelium,oligosanthes,2.75
PPL01,1,2005,15,N1P3,16,dichanthelium,acuminatum,0.75
PPL01,1,2005,15,N1P3,18,sorghastrum,nutans,18.75
PPL01,1,2005,15,N1P3,2,andropogon,gerardii,53.75
PPL01,1,2005,15,N1P3,21,sporobolus,asper,0.5
PPL01,1,2005,15,N1P3,3,andropogon,scoparius,32.5
PPL01,1,2005,15,N1P3,33,carex,heliophila,2.25
PPL01,1,2005,15,N1P3,34,carex,meadii,3
PPL01,1,2005,15,N1P3,4,bouteloua,curtipendula,2.5
PPL01,1,2005,15,N1P3,46,ambrosia,psilostachya,3.5
PPL01,1,2005,15,N1P3,49,antennaria,neglecta,0.25
PPL01,1,2005,15,N1P3,55,asclepias,verticillata,0.5
PPL01,1,2005,15,N1P3,58,aster,ericoides,11.75
PPL01,1,2005,16,N2P1,128,solidago,missouriensis,1.25
PPL01,1,2005,16,N2P1,14,dichanthelium,oligosanthes,1.5
PPL01,1,2005,16,N2P1,17,poa,pratensis,0.25
PPL01,1,2005,16,N2P1,18,sorghastrum,nutans,43.75
PPL01,1,2005,16,N2P1,2,andropogon,gerardii,26.25
PPL01,1,2005,16,N2P1,21,sporobolus,asper,1.25
PPL01,1,2005,16,N2P1,23,sporobolus,heterolepis,25
PPL01,1,2005,16,N2P1,3,andropogon,scoparius,7
PPL01,1,2005,16,N2P1,33,carex,heliophila,1.75
PPL01,1,2005,16,N2P1,34,carex,meadii,1
PPL01,1,2005,16,N2P1,4,bouteloua,curtipendula,2
PPL01,1,2005,16,N2P1,40,amorpha,canescens,3
PPL01,1,2005,16,N2P1,46,ambrosia,psilostachya,4.25
PPL01,1,2005,16,N2P1,55,asclepias,verticillata,1
PPL01,1,2005,16,N2P1,59,aster,oblongifolius,6.5
PPL01,1,2005,16,N2P1,65,baptisia,australis,2.5
PPL01,1,2005,16,N2P1,76,echinacea,angustifolia,0.25
PPL01,1,2005,17,N2P2,109,dalea,purpurea,3
PPL01,1,2005,17,N2P2,120,ruellia,humilis,1.5
PPL01,1,2005,17,N2P2,123,senecio,plattensis,0.25
PPL01,1,2005,17,N2P2,14,dichanthelium,oligosanthes,3.75
PPL01,1,2005,17,N2P2,18,sorghastrum,nutans,6.25
PPL01,1,2005,17,N2P2,2,andropogon,gerardii,38.75
PPL01,1,2005,17,N2P2,21,sporobolus,asper,1.25
PPL01,1,2005,17,N2P2,3,andropogon,scoparius,5.75
PPL01,1,2005,17,N2P2,33,carex,heliophila,3.5
PPL01,1,2005,17,N2P2,34,carex,meadii,3
PPL01,1,2005,17,N2P2,4,bouteloua,curtipendula,7.5
PPL01,1,2005,17,N2P2,40,amorpha,canescens,1.25
PPL01,1,2005,17,N2P2,46,ambrosia,psilostachya,2
PPL01,1,2005,17,N2P2,54,asclepias,stenophylla,4.5
PPL01,1,2005,17,N2P2,58,aster,ericoides,48.75
PPL01,1,2005,17,N2P2,59,aster,oblongifolius,10
PPL01,1,2005,17,N2P2,76,echinacea,angustifolia,1.25
PPL01,1,2005,17,N2P2,86,kuhnia,eupatorioides,1.25
PPL01,1,2005,18,N1P2,109,dalea,purpurea,0.25
PPL01,1,2005,18,N1P2,111,physalis,pumila,0.25
PPL01,1,2005,18,N1P2,120,ruellia,humilis,0.75
PPL01,1,2005,18,N1P2,127,solidago,canadensis,3
PPL01,1,2005,18,N1P2,128,solidago,missouriensis,2.5
PPL01,1,2005,18,N1P2,14,dichanthelium,oligosanthes,3
PPL01,1,2005,18,N1P2,17,poa,pratensis,0.25
PPL01,1,2005,18,N1P2,18,sorghastrum,nutans,3.25
PPL01,1,2005,18,N1P2,2,andropogon,gerardii,67.5
PPL01,1,2005,18,N1P2,21,sporobolus,asper,2.5
PPL01,1,2005,18,N1P2,3,andropogon,scoparius,12.5
PPL01,1,2005,18,N1P2,33,carex,heliophila,2.25
PPL01,1,2005,18,N1P2,34,carex,meadii,1.25
PPL01,1,2005,18,N1P2,4,bouteloua,curtipendula,5.5
PPL01,1,2005,18,N1P2,46,ambrosia,psilostachya,3.25
PPL01,1,2005,18,N1P2,55,asclepias,verticillata,0.25
PPL01,1,2005,18,N1P2,58,aster,ericoides,2.25
PPL01,1,2005,18,N1P2,59,aster,oblongifolius,3.25
PPL01,1,2005,18,N1P2,66,baptisia,bracteata,11.25
PPL01,1,2005,19,N1P3,106,dalea,candida,0.5
PPL01,1,2005,19,N1P3,109,dalea,purpurea,0.25
PPL01,1,2005,19,N1P3,120,ruellia,humilis,0.25
PPL01,1,2005,19,N1P3,128,solidago,missouriensis,11.5
PPL01,1,2005,19,N1P3,14,dichanthelium,oligosanthes,1
PPL01,1,2005,19,N1P3,18,sorghastrum,nutans,4.5
PPL01,1,2005,19,N1P3,2,andropogon,gerardii,45
PPL01,1,2005,19,N1P3,3,andropogon,scoparius,33.75
PPL01,1,2005,19,N1P3,33,carex,heliophila,1
PPL01,1,2005,19,N1P3,34,carex,meadii,1.75
PPL01,1,2005,19,N1P3,4,bouteloua,curtipendula,0.5
PPL01,1,2005,19,N1P3,40,amorpha,canescens,6.25
PPL01,1,2005,19,N1P3,58,aster,ericoides,1.5
PPL01,1,2005,20,N1P1,106,dalea,candida,0.5
PPL01,1,2005,20,N1P1,109,dalea,purpurea,2.5
PPL01,1,2005,20,N1P1,128,solidago,missouriensis,0.75
PPL01,1,2005,20,N1P1,14,dichanthelium,oligosanthes,3.75
PPL01,1,2005,20,N1P1,17,poa,pratensis,0.5
PPL01,1,2005,20,N1P1,18,sorghastrum,nutans,6.75
PPL01,1,2005,20,N1P1,2,andropogon,gerardii,72.5
PPL01,1,2005,20,N1P1,21,sporobolus,asper,0.5
PPL01,1,2005,20,N1P1,3,andropogon,scoparius,7
PPL01,1,2005,20,N1P1,33,carex,heliophila,0.25
PPL01,1,2005,20,N1P1,34,carex,meadii,2.75
PPL01,1,2005,20,N1P1,4,bouteloua,curtipendula,2.25
PPL01,1,2005,20,N1P1,40,amorpha,canescens,22.5
PPL01,1,2005,20,N1P1,46,ambrosia,psilostachya,0.25
PPL01,1,2005,20,N1P1,58,aster,ericoides,4.75
PPL01,1,2005,20,N1P1,86,kuhnia,eupatorioides,1.75
PPL01,1,2005,21,N2P3,111,physalis,pumila,0.25
PPL01,1,2005,21,N2P3,127,solidago,canadensis,8.75
PPL01,1,2005,21,N2P3,14,dichanthelium,oligosanthes,1.75
PPL01,1,2005,21,N2P3,18,sorghastrum,nutans,47.5
PPL01,1,2005,21,N2P3,2,andropogon,gerardii,43.75
PPL01,1,2005,21,N2P3,3,andropogon,scoparius,6.75
PPL01,1,2005,21,N2P3,33,carex,heliophila,1.25
PPL01,1,2005,21,N2P3,34,carex,meadii,2.25
