Site,Date,Region,Quadrat,Off Quadrat (incl. dead mussel shells),Unsure,Bare Rock,sediment/diatom,Heterosiphonia,Euthora cristata,Modiolus ,"pink coralline, smooth",Phycodrys fimbriata,Ptilota serrata,Palmaria palmata,Chondrus crispus,Balanus spp.,Halichondria,"pink coralline, bumpy",Mytilus edulis,branched hydroid,Aplidium pallidum,Bugula,Hildenbrandia,Schizomavella,Polysiphonia,Dendrobeania,Bottryloides (orange),Lomentaria orcadensis,Corallina officinalis,Ulva lactuca,Didemnum albidum,Terebratulina,Dendrodoa carnea,chondrus mat,Parasmittina,Bottryloides (gray),cactus sea squirt,Aplidium constellatum,Gonactinia,Isodictya (sponge),Gracilaria,Anomia,Crepidula,Tonicella (chiton),Leucoselenia (sponge),Molgula (tunicate; sea grape),Halisarca,Diplosoma,brown Didemnum,Unknown orange ascidian,Unknown Bryozoan,Unknown Yellow Sponge
Mingo Rock,6/12/15,Onshore,Q31,51,0,0,9,24,13,0,0,15,6,2,7,0,1,48,0,1,8,0,7,2,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q32,65,0,0,9,57,25,0,1,13,2,0,0,0,3,7,0,5,0,1,0,0,0,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q33,28,0,0,62,22,8,0,2,0,8,0,2,0,1,27,0,8,14,0,0,1,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q34,30,0,0,63,17,22,0,6,0,2,2,0,1,0,20,0,0,12,0,6,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0
Mingo Rock,6/12/15,Onshore,Q35,41,0,0,48,19,17,0,1,0,1,2,0,0,2,20,0,11,16,0,0,0,0,13,0,0,0,0,0,0,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q36,21,0,0,42,9,10,0,0,0,0,3,0,2,7,22,0,19,36,0,4,0,0,19,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q37,50,0,0,22,17,29,0,0,0,6,18,0,2,4,10,0,36,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q38,59,0,0,43,6,21,0,0,0,3,0,0,1,1,35,0,7,11,0,1,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q1,61,0,0,59,0,0,0,25,0,6,14,0,0,0,2,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q2,78,0,0,56,0,0,0,27,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q3,45,0,0,83,0,0,0,11,0,0,6,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q4,34,0,0,92,0,0,0,14,0,1,7,0,0,0,30,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q5,90,0,0,15,2,0,38,0,5,21,15,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q6,93,0,0,17,0,2,41,0,0,3,3,0,0,0,27,1,1,0,0,0,8,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q7,72,0,0,37,7,0,28,0,9,23,5,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q8,54,0,0,70,0,0,1,0,1,0,5,0,0,0,62,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q9,65,0,0,19,3,0,55,2,14,27,2,0,0,0,6,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q10,49,0,0,75,2,0,0,0,0,0,1,0,0,0,47,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q11,38,0,0,61,2,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q12,32,0,0,67,1,0,0,0,0,0,0,0,0,0,70,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q13,50,0,0,77,2,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q14,76,0,0,42,3,0,0,4,0,0,3,0,0,0,37,0,2,1,0,0,0,0,0,0,0,15,0,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q15,44,0,0,83,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q16,50,0,0,84,0,0,0,0,0,0,0,0,0,0,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q17,68,0,0,2,0,0,0,2,1,0,0,0,0,0,3,0,39,0,0,0,0,0,0,0,0,1,0,0,0,0,79,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q18,50,0,0,79,2,0,0,0,0,0,0,0,0,0,34,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q20,51,0,0,72,4,0,0,7,0,0,0,0,0,0,33,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q22,40,0,0,32,3,0,0,0,0,0,0,0,0,0,21,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,51,9,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q23,52,0,0,6,1,0,0,4,0,0,0,0,0,10,18,0,63,0,0,0,0,0,0,0,1,1,0,0,0,0,27,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q24,78,0,0,0,2,0,14,0,5,3,0,0,1,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,53,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q25,100,0,0,12,10,0,0,21,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q26,55,0,0,61,2,0,0,1,0,0,0,0,0,0,56,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q27,50,0,0,82,3,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q28,27,0,0,53,7,0,0,5,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q29,34,0,0,23,36,2,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q30,77,1,0,1,1,0,0,0,0,0,1,0,0,6,20,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q31,27,0,0,31,44,0,0,5,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q32,53,0,0,76,23,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q33,86,0,0,56,17,0,4,18,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q34,119,0,0,52,5,0,0,4,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q36,107,0,0,27,5,0,4,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q37,114,0,0,37,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q38,113,0,0,29,2,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q39,83,0,0,0,0,0,0,7,0,1,1,0,0,0,6,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q40,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,40,13,0,0,7,1,0,0,0,0,0,0,0,9,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q41,130,0,0,25,4,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q42,27,0,0,18,63,0,0,11,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q43,57,0,0,31,5,0,25,4,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q44,67,0,0,8,2,45,35,4,6,12,0,0,0,0,3,1,12,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q45,54,0,0,71,0,0,0,1,0,0,0,0,1,0,56,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1,6/15/15,Offshore,Q47,62,0,0,0,0,15,48,0,7,8,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,19,14,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q48,131,0,0,23,12,0,0,10,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q49,128,0,0,19,2,0,0,18,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q50,79,0,0,49,26,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q51,92,0,0,33,6,3,10,24,3,2,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q52,93,0,0,6,12,5,38,1,10,21,4,0,0,0,6,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q53,56,0,0,49,19,0,0,4,2,0,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q54,74,0,0,56,3,0,4,14,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q55,76,0,0,21,6,3,17,17,4,10,0,0,0,0,11,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q56,81,0,0,28,0,0,0,4,0,4,0,0,0,0,34,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q57,87,0,0,12,7,2,21,3,4,14,4,1,0,0,19,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q58,51,0,0,16,2,6,51,13,7,34,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q59,86,0,0,23,17,0,1,39,0,4,6,7,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q61,56,0,0,38,34,0,0,24,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q62,94,0,0,25,14,3,7,21,1,3,10,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q63,73,0,0,35,16,0,0,14,0,0,2,7,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q64,58,0,0,45,33,0,0,17,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q65,68,0,0,59,8,0,0,0,0,0,2,14,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q66,76,0,0,26,48,0,0,9,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q67,40,0,0,59,23,0,0,15,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q68,53,0,0,36,21,0,0,27,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q69,69,0,0,44,8,1,0,24,0,0,0,6,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q70,52,0,0,45,5,0,0,20,0,0,0,17,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q71,66,0,0,10,30,0,0,18,0,0,0,4,0,0,6,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 2,6/15/15,Offshore,Q72,59,0,0,61,11,0,0,6,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q1,38,0,0,42,0,0,0,0,18,0,0,0,0,0,72,0,2,4,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q2,62,0,1,24,0,0,0,0,5,1,0,0,0,0,66,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,19,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q3,97,4,0,14,0,0,0,0,23,3,0,0,0,0,46,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q4,62,0,0,18,0,0,0,0,64,1,0,0,0,0,44,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q5,70,0,5,1,0,0,0,0,10,0,0,0,0,0,49,4,14,0,0,0,0,0,0,0,0,3,0,0,0,0,37,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q6,76,0,1,3,0,0,0,0,8,1,0,0,0,0,41,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,4,0,0,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q7,70,0,3,0,0,0,0,0,20,8,0,0,0,0,33,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,56,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q8,48,0,0,1,0,0,0,3,6,1,0,0,0,1,65,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,50,0,0,0,8,0,8,0,0,0,0,0,0,6,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q9,105,0,0,0,0,0,0,0,8,0,0,0,0,0,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,4,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q10,134,0,0,0,0,0,0,0,4,6,0,0,0,0,23,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q11,106,1,0,1,0,0,0,0,9,3,0,0,0,0,13,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q12,100,2,0,5,0,0,0,3,22,3,0,0,0,0,34,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q13,80,6,2,0,0,0,0,0,21,4,0,0,0,0,33,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q14,74,2,0,3,0,0,0,8,24,1,0,0,0,0,38,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,10,0,0,0,12,0,13,0,0,0,0,0,0,0,0,0,0,1,0
Ammen Rock 1 1987,7/17/87,Offshore,Q15,61,0,0,0,0,0,0,1,28,7,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10,0,0,21,0,0,0,0,0,0,0,8,0,0,0,0,0,1
Ammen Rock 1 1987,7/17/87,Offshore,Q16,69,0,0,0,0,0,0,0,29,0,0,0,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,51,11,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q17,79,0,0,2,0,0,0,6,23,4,0,0,0,0,20,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,15,12,0,0,5,0,0,0,0,0,0,0,16,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q18,37,1,0,16,0,0,0,0,34,10,4,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,9,0,27,0,0,0,0,0,7,0,0,0,0,2,0
Ammen Rock 1 1987,7/17/87,Offshore,Q19,54,0,0,23,0,0,0,0,30,1,0,0,0,0,53,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q20,67,0,0,9,0,0,0,0,21,1,0,0,0,0,34,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,4,20,0,0,16,0,0,0,0,0,0,0,4,0,0,0,0,5,0
Ammen Rock 1 1987,7/17/87,Offshore,Q21,45,0,0,16,0,0,0,5,15,0,0,0,0,0,50,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12,7,0,0,25,0,0,0,0,0,0,0,19,0,0,0,0,1,0
Ammen Rock 1 1987,7/17/87,Offshore,Q22,73,0,2,4,0,0,0,18,10,1,0,0,0,0,13,3,0,0,0,8,0,0,0,0,0,8,0,0,0,0,25,3,0,0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q23,54,0,0,3,0,0,0,0,3,1,0,0,0,0,46,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,18,4,0,0,14,1,53,0,0,0,0,0,0,0,0,0,0,0,0
Ammen Rock 1 1987,7/17/87,Offshore,Q24,109,0,1,7,0,0,0,10,11,1,0,0,0,0,1,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
